track_id,artist,song,favorites
2ayc7,Hermitude,The Buzz feat. Mataya & Young Tapz,15435
2an67,Mura Masa,7. When U Need Me,1486
2995f,Julia Lauren,Reckless (Bobby Green Remix),2750
2btxh,sjowgren,seventeen,8009
2bdyz,Deadmau5,Strobe (Shemce Remix),9962
28jpj,John Mayer,Waiting On The World To Change (Bobby Br...,2658
2d2qx,Casey Veggies,All That Gold feat. Elohim,1832
1v301,Vance Joy,Riptide,28849
2a7n7,FRANKIE,Problems Problems (BLU J Remix),3520
26qsa,Mattafix,Big City Life (LEEX Remix),10856
29p3z,Morgan Page,"Open Heart"" Feat. Lissie (Album Version)",5951
29yg6,Nick Brewer Music,I'm A Pro feat. Shakka,189
2853t,Kygo,Firestone (feat. Conrad),18358
29qct,IshDARR,Too Bad (Prod. J Gramm),4937
2408c,Bon Iver,Holocene (Satchmode Remix),7457
2f1h8,kali uchis,ridin round feat. tory lanez (oshi redo),9348
1hq2k,M.I.A.,Bad Girls,8854
25pk8,HONNE,Warm On A Cold Night,9492
24r7k,Panama Wedding,Uma,6305
2d21a,Diplo & Sleepy Tom,Be Right There (Lost Kings Remix),4108
1f36p,Drake,Make Me Proud (feat. Nicki Minaj),6396
2g2by,Rationale,Fuel To The Fire (The White Panda Remix),3666
22tjv,Skizzy Mars,Too Ill,1995
22pyp,Skizzy Mars,Numb,810
2fx04,Billie Eilish,Ocean Eyes (Young Bombs Remix),4042
sx9e,Damian Marley,It Was Written (Chasing Shadows Remix),1874
1h8nj,Delilah,Go by Delilah (ENiGMA Dubz Remix),105
1nhbe,MartyParty,ICE CREAM TRUCK,43
1ehdv,Stephan Jacobs & Ben Samples,Nano Puppy (Stephan's Bone Thug's re-edi...,18
1h13z,ScHoolboy Q,Blessed f. Kendrick Lamar,5578
1534q,Danger Vs. Bone Thugs-N-Harmony,Thug-h30 (Vodka & Milk Mash) featTupac,411
1b736,SBTRKT,Wildfire (feat. Little Dragon),21624
1ckz7,SBTRKT,Pharaohs,3693
99ed,Justice,Newjack,540
1633e,Kid Cudi,These Worries (Feat. Mary J. Blige),2249
vtwr,Sukh Knight,Ganja Dub,563
